
Gurobi 13.0.3 (win64) logging started Mon Sep 21 03:24:21 2026

Set parameter LogFile to value "<workspace>tmp\r9-flow-probe-vf-vt-local-v1\solver-local.log"

Gurobi 13.0.3 (win64) logging started Mon Sep 21 03:24:22 2026

Set parameter LogFile to value "<workspace>tmp\r9-flow-probe-vf-vt-local-v1\solver-local.log"
Warning on update mode = 1 after new variables or constraints added:
Setting LP warm start basis or start ignored

Set parameter TimeLimit to value 9.2976828799990471e+01
Gurobi Optimizer version 13.0.3 build v13.0.3rc0 (win64 - Windows 11+.0 (26200.2))

CPU model: 12th Gen Intel(R) Core(TM) i7-12700, instruction set [SSE2|AVX|AVX2]
Thread count: 12 physical cores, 20 logical processors, using up to 1 threads

Non-default parameters:
TimeLimit  9.2976828799990471e+01
FeasibilityTol  1e-09
OptimalityTol  1e-09
NLBarPFeasTol  1e-09
NLBarDFeasTol  1e-09
OptimalityTarget  1
LogToConsole  0
NonConvex  2
Threads  1

Optimize a model with 21183 rows, 32808 columns and 52239 nonzeros (Min)
Model fingerprint: 0x11b99193
Model has 120 linear objective coefficients
Model has 9864 quadratic constraints
Model has 1776 general nonlinear constraints (3552 nonlinear terms)
Variable types: 32808 continuous, 0 integer (0 binary)
Coefficient statistics:
  Matrix range     [1e-05, 3e+01]
  QMatrix range    [5e-02, 2e+02]
  QLMatrix range   [2e-01, 1e+00]
  Objective range  [5e+01, 1e+03]
  Bounds range     [1e-03, 5e+03]
  RHS range        [5e-03, 4e+02]
  QRHS range       [1e+00, 6e+01]
  NLCon coe range  [8e-04, 3e+02]

Presolve removed 16493 rows and 15102 columns
Presolve time: 0.11s
Presolved: 4690 rows, 17706 columns, 15715 nonzeros
Presolved model has 10657 quadratic constraint(s)
Presolved model has 1776 nonlinear constraint(s)

Solving NLP to local optimality

Ordering time: 0.02s

NL barrier statistics:
  Hessian NZ  : 2.171e+04
  Jacobian NZ : 5.510e+04
  Factor NZ   : 4.925e+05
  Factor Ops  : 1.816e+07
  Threads     : 1

                           Residuals
Iter     Objective      Primal     Dual      Compl     Step     Time
  94   5.29784044e+05  6.98e-06  4.52e-01  1.50e-01  1.00e+00     2s
  95   5.29929558e+05  2.99e-05  2.08e+01  1.50e-01  1.00e+00     2s
  96   5.29895116e+05  2.84e-05  5.80e+00  1.50e-01  1.00e+00     2s
  97   5.29878531e+05  1.08e-05  3.08e+00  1.50e-01  1.00e+00     2s
  98   5.30532772e+05  9.00e-04  8.12e+01  1.50e-01  4.56e-01     2s
  99   5.30271588e+05  2.27e-03  2.10e+01  1.50e-01  1.00e+00     2s
 100   5.30024040e+05  2.69e-03  2.52e+01  1.50e-01  8.33e-01     2s
 101   5.30050357e+05  7.56e-05  1.41e-01  1.50e-01  1.00e+00     2s
 102   5.29977463e+05  7.27e-05  6.25e+00  1.50e-01  1.00e+00     2s
 103   5.30043122e+05  1.86e-05  1.77e+00  1.50e-01  1.00e+00     2s
 104   5.30026692e+05  7.66e-06  1.38e+00  1.50e-01  1.00e+00     2s
 105   5.30081618e+05  1.09e-05  1.89e+00  1.50e-01  1.00e+00     2s
 106   5.30058395e+05  1.06e-05  1.73e+00  1.50e-01  1.00e+00     2s
 107   5.30108090e+05  9.19e-06  1.43e+00  1.50e-01  1.00e+00     2s
 108   5.30088216e+05  8.01e-06  1.34e+00  1.50e-01  1.00e+00     2s
 109   5.30135362e+05  8.54e-06  1.38e+00  1.50e-01  1.00e+00     2s
 110   5.30115134e+05  7.64e-06  1.26e+00  1.50e-01  1.00e+00     2s
 111   5.30159051e+05  7.54e-06  1.19e+00  1.50e-01  1.00e+00     2s
 112   5.30140194e+05  6.57e-06  1.09e+00  1.50e-01  1.00e+00     2s
 113   5.30181113e+05  6.60e-06  1.04e+00  1.50e-01  1.00e+00     2s
 114   5.30163472e+05  5.71e-06  9.42e-01  1.50e-01  1.00e+00     2s
 115   5.30201526e+05  5.72e-06  8.95e-01  1.50e-01  1.00e+00     2s
 116   5.30185279e+05  4.90e-06  8.05e-01  1.50e-01  1.00e+00     2s
 117   5.30220555e+05  4.90e-06  7.61e-01  1.50e-01  1.00e+00     2s
 118   5.30205816e+05  4.13e-06  6.77e-01  1.50e-01  1.00e+00     2s
 119   5.30238385e+05  4.13e-06  6.38e-01  1.50e-01  1.00e+00     2s
 120   5.30225250e+05  3.43e-06  5.60e-01  1.50e-01  1.00e+00     2s
 121   5.30255172e+05  3.42e-06  5.26e-01  1.50e-01  1.00e+00     2s
 122   5.30243715e+05  3.29e-06  4.54e-01  1.50e-01  1.00e+00     2s
 123   5.30271045e+05  3.24e-06  4.24e-01  1.50e-01  1.00e+00     2s
 124   5.30261321e+05  3.20e-06  3.59e-01  1.50e-01  1.00e+00     2s
 125   5.30286115e+05  3.17e-06  3.34e-01  1.50e-01  1.00e+00     2s
 126   5.30278153e+05  3.13e-06  2.76e-01  1.50e-01  1.00e+00     2s
 127   5.30300480e+05  3.11e-06  2.56e-01  1.50e-01  1.00e+00     2s
 128   5.30294278e+05  3.08e-06  2.05e-01  1.50e-01  1.00e+00     2s
 129   5.30314225e+05  3.06e-06  1.90e-01  1.50e-01  1.00e+00     2s
 130   5.30309748e+05  3.04e-06  1.47e-01  1.50e-01  1.00e+00     2s
 131   5.30327428e+05  3.01e-06  1.36e-01  1.50e-01  1.00e+00     2s
 132   5.30324600e+05  2.99e-06  1.00e-01  1.50e-01  1.00e+00     2s
 133   5.30340155e+05  2.96e-06  9.37e-02  1.50e-01  1.00e+00     2s
 134   5.30338862e+05  2.94e-06  6.51e-02  1.50e-01  1.00e+00     2s
 135   5.30352466e+05  2.92e-06  6.18e-02  1.50e-01  1.00e+00     2s
 136   5.30352556e+05  2.89e-06  3.99e-02  1.50e-01  1.00e+00     2s
 137   5.30364410e+05  2.87e-06  3.90e-02  1.50e-01  1.00e+00     2s
 138   5.30365700e+05  2.85e-06  2.29e-02  1.50e-01  1.00e+00     3s
 139   5.30376025e+05  2.82e-06  2.35e-02  1.50e-01  1.00e+00     3s
 140   5.30378314e+05  2.80e-06  1.23e-02  1.50e-01  1.00e+00     3s
 141   5.30366338e+05  2.80e-06  1.47e+03  6.73e-02  1.29e-03     3s
 142   5.30362910e+05  2.80e-06  4.62e+03  3.43e-02  2.28e-04     3s
 143   5.30362441e+05  2.80e-06  4.74e+03  3.43e-02  5.26e-05     3s
 144   5.29952745e+05  3.48e-05  3.79e+03  3.41e-02  1.91e-02     3s
 145   5.29951861e+05  3.48e-05  9.71e+03  3.45e-02  4.40e-05     3s
 146   5.28659515e+05  3.41e-05  6.11e+00  2.28e-02  9.84e-01     3s
 147   5.24981366e+05  3.30e-04  4.34e+01  2.25e-02  1.00e+00     3s
 148   5.23709176e+05  1.10e-04  3.44e+01  2.25e-02  1.00e+00     3s
 149   5.21454229e+05  1.71e-04  6.81e+01  2.25e-02  8.45e-01     3s
 150   5.18879665e+05  2.65e-04  6.97e+01  2.24e-02  5.12e-01     3s
 151   5.17107557e+05  1.67e-04  5.34e+00  2.25e-02  1.00e+00     3s
 152   5.16351498e+05  4.56e-02  3.30e+03  2.25e-02  4.02e-02     3s
 153   5.12880766e+05  2.03e+00  1.45e+03  2.24e-02  3.00e-01     3s
 154   5.11755828e+05  1.06e+00  7.88e+02  2.25e-02  4.75e-01     3s
 155   5.11268933e+05  6.26e-04  1.74e+02  2.25e-02  1.00e+00     3s
 156   5.10726407e+05  7.75e-05  1.67e+02  2.25e-02  9.18e-01     3s
 157   5.10099746e+05  4.38e-04  1.17e+02  2.25e-02  2.05e-01     3s
 158   5.09986487e+05  4.36e-04  1.15e+02  2.25e-02  1.22e-02     3s
 159   5.09822643e+05  4.55e-04  1.03e+02  2.25e-02  3.23e-02     3s
 160   5.09669221e+05  4.53e-04  1.02e+02  2.25e-02  3.62e-03     3s
 161   5.09356923e+05  5.41e-03  1.41e+01  2.25e-02  1.00e+00     3s
 162   5.09244225e+05  1.46e-02  4.94e+01  2.25e-02  5.49e-01     3s
 163   5.08994550e+05  2.77e-01  7.67e+01  2.25e-02  1.00e+00     3s
 164   5.08961417e+05  2.31e-05  2.62e+00  2.25e-02  1.00e+00     3s
 165   5.08497089e+05  1.22e-03  2.64e+02  2.25e-02  2.41e-01     3s
 166   5.08688289e+05  1.22e-04  2.36e+02  2.25e-02  1.00e+00     3s
 167   5.08555517e+05  1.86e-04  6.48e+01  2.25e-02  3.47e-01     3s
 168   5.07821227e+05  4.66e+00  6.95e+03  2.25e-02  2.85e-01     3s
 169   5.07164217e+05  8.66e+00  6.69e+03  2.25e-02  5.35e-01     3s
 170   5.07113264e+05  6.31e+00  3.15e+03  2.25e-02  2.72e-01     3s
 171   5.07146780e+05  6.13e-01  3.99e+01  2.25e-02  1.00e+00     3s
 172   5.07096551e+05  9.45e-01  6.03e+03  2.25e-02  5.06e-02     3s
 173   5.06956761e+05  6.19e-01  2.65e+03  2.25e-02  5.52e-01     3s
 174   5.06933898e+05  1.33e-01  8.50e+01  2.25e-02  1.00e+00     3s
 175   5.06978355e+05  3.97e-02  8.79e+00  2.25e-02  1.00e+00     3s
 176   5.07015857e+05  4.53e-02  4.31e+00  2.25e-02  1.00e+00     3s
 177   5.07047210e+05  4.76e-02  4.52e+00  2.25e-02  1.00e+00     3s
 178   5.07076139e+05  4.65e-02  4.51e+00  2.25e-02  1.00e+00     3s
 179   5.07103481e+05  4.07e-02  4.12e+00  2.25e-02  1.00e+00     3s
 180   5.07129011e+05  2.96e-02  3.18e+00  2.25e-02  1.00e+00     3s
 181   5.07152508e+05  1.60e-02  1.87e+00  2.25e-02  1.00e+00     3s
 182   5.07174027e+05  6.59e-03  8.67e-01  2.25e-02  1.00e+00     3s
 183   5.07193944e+05  2.52e-03  3.86e-01  2.25e-02  1.00e+00     3s
 184   5.07212633e+05  1.07e-03  1.96e-01  2.25e-02  1.00e+00     4s
 185   5.07230320e+05  5.00e-04  1.12e-01  2.25e-02  1.00e+00     4s
 186   5.07247154e+05  2.55e-04  7.10e-02  2.25e-02  1.00e+00     4s
 187   5.07263239e+05  1.42e-04  4.93e-02  2.25e-02  1.00e+00     4s
 188   5.07278658e+05  8.71e-05  3.70e-02  2.25e-02  1.00e+00     4s
 189   5.07293474e+05  5.85e-05  2.98e-02  2.25e-02  1.00e+00     4s
 190   5.07307739e+05  4.27e-05  2.52e-02  2.25e-02  1.00e+00     4s
 191   5.07321500e+05  3.88e-05  2.23e-02  2.25e-02  1.00e+00     4s
 192   5.07334792e+05  3.67e-05  2.13e-02  2.25e-02  1.00e+00     4s
 193   5.07347650e+05  3.45e-05  2.04e-02  2.25e-02  1.00e+00     4s
 194   5.07360102e+05  3.24e-05  1.95e-02  2.25e-02  1.00e+00     4s
 195   5.07372172e+05  3.04e-05  1.87e-02  2.25e-02  1.00e+00     4s
 196   5.07383884e+05  2.85e-05  1.80e-02  2.25e-02  1.00e+00     4s
 197   5.07395257e+05  2.66e-05  1.72e-02  2.25e-02  1.00e+00     4s
 198   5.07406307e+05  2.49e-05  1.66e-02  2.25e-02  1.00e+00     4s
 199   5.07417053e+05  2.33e-05  1.59e-02  2.25e-02  1.00e+00     4s
 200   5.07427507e+05  2.18e-05  1.53e-02  2.25e-02  1.00e+00     4s
 201   5.07437683e+05  2.04e-05  1.47e-02  2.25e-02  1.00e+00     4s
 202   5.07447595e+05  1.90e-05  1.41e-02  2.25e-02  1.00e+00     4s
 203   5.07457253e+05  1.78e-05  1.36e-02  2.25e-02  1.00e+00     4s
 204   5.07466668e+05  1.66e-05  1.31e-02  2.25e-02  1.00e+00     4s
 205   5.07475852e+05  1.55e-05  1.27e-02  2.25e-02  1.00e+00     4s
 206   5.07484813e+05  1.44e-05  1.23e-02  2.25e-02  1.00e+00     4s
 207   5.07493560e+05  1.34e-05  1.20e-02  2.25e-02  1.00e+00     4s
 208   5.07502103e+05  1.26e-05  1.17e-02  2.25e-02  1.00e+00     4s
 209   5.07510449e+05  1.21e-05  1.13e-02  2.25e-02  1.00e+00     4s
 210   5.07518606e+05  1.16e-05  1.10e-02  2.25e-02  1.00e+00     4s
 211   5.07526581e+05  1.12e-05  1.07e-02  2.25e-02  1.00e+00     4s
 212   5.07534381e+05  1.07e-05  1.04e-02  2.25e-02  1.00e+00     4s
 213   5.07542013e+05  1.03e-05  1.02e-02  2.25e-02  1.00e+00     4s
 214   5.07549483e+05  9.89e-06  9.91e-03  2.25e-02  1.00e+00     4s
 215   5.07556798e+05  9.51e-06  9.65e-03  2.25e-02  1.00e+00     4s
 216   5.07563962e+05  9.14e-06  9.40e-03  2.25e-02  1.00e+00     4s
 217   5.07570981e+05  8.79e-06  9.17e-03  2.25e-02  1.00e+00     4s
 218   5.07577861e+05  8.45e-06  8.93e-03  2.25e-02  1.00e+00     4s
 219   5.07584607e+05  8.13e-06  8.71e-03  2.25e-02  1.00e+00     4s
 220   5.07591222e+05  7.81e-06  8.49e-03  2.25e-02  1.00e+00     4s
 221   5.07597712e+05  7.51e-06  8.28e-03  2.25e-02  1.00e+00     4s
 222   5.07604080e+05  7.21e-06  8.07e-03  2.25e-02  1.00e+00     4s
 223   5.07610330e+05  6.93e-06  7.86e-03  2.25e-02  1.00e+00     4s
 224   5.07616467e+05  6.65e-06  7.66e-03  2.25e-02  1.00e+00     4s
 225   5.07622493e+05  6.37e-06  7.46e-03  2.25e-02  1.00e+00     4s
 226   5.07628411e+05  6.10e-06  7.26e-03  2.25e-02  1.00e+00     4s
 227   5.07634226e+05  5.84e-06  7.07e-03  2.25e-02  1.00e+00     4s
 228   5.07639940e+05  5.57e-06  6.87e-03  2.25e-02  1.00e+00     4s
 229   5.07645555e+05  5.32e-06  6.68e-03  2.25e-02  1.00e+00     4s
 230   5.07651075e+05  5.06e-06  6.48e-03  2.25e-02  1.00e+00     4s
 231   5.07656502e+05  4.82e-06  6.29e-03  2.25e-02  1.00e+00     4s
 232   5.07661838e+05  4.57e-06  6.10e-03  2.25e-02  1.00e+00     4s
 233   5.07667086e+05  4.33e-06  5.91e-03  2.25e-02  1.00e+00     4s
 234   5.07672248e+05  4.10e-06  5.72e-03  2.25e-02  1.00e+00     4s
 235   5.07677326e+05  3.87e-06  5.53e-03  2.25e-02  1.00e+00     4s
 236   5.07682323e+05  3.64e-06  5.34e-03  2.25e-02  1.00e+00     4s
 237   5.07687240e+05  3.43e-06  5.15e-03  2.25e-02  1.00e+00     4s
 238   5.07692080e+05  3.21e-06  4.97e-03  2.25e-02  1.00e+00     4s
 239   5.07696844e+05  3.01e-06  4.79e-03  2.25e-02  1.00e+00     4s
 240   5.07701534e+05  2.81e-06  4.61e-03  2.25e-02  1.00e+00     4s
 241   5.07706153e+05  2.62e-06  4.43e-03  2.25e-02  1.00e+00     4s
 242   5.07710701e+05  2.44e-06  4.25e-03  2.25e-02  1.00e+00     4s
 243   5.07715181e+05  2.26e-06  4.08e-03  2.25e-02  1.00e+00     4s
 244   5.07719594e+05  2.10e-06  3.91e-03  2.25e-02  1.00e+00     4s
 245   5.07723943e+05  1.94e-06  3.75e-03  2.25e-02  1.00e+00     4s
 246   5.07728227e+05  1.79e-06  3.59e-03  2.25e-02  1.00e+00     4s
 247   5.07732450e+05  1.65e-06  3.43e-03  2.25e-02  1.00e+00     4s
 248   5.07736613e+05  1.51e-06  3.28e-03  2.25e-02  1.00e+00     4s
 249   5.07740717e+05  1.39e-06  3.13e-03  2.25e-02  1.00e+00     4s
 250   5.07744763e+05  1.27e-06  2.99e-03  2.25e-02  1.00e+00     5s
 251   5.07748753e+05  1.16e-06  2.85e-03  2.25e-02  1.00e+00     5s
 252   5.07752688e+05  1.13e-06  2.72e-03  2.25e-02  1.00e+00     5s
 253   5.07756570e+05  1.11e-06  2.59e-03  2.25e-02  1.00e+00     5s
 254   5.07760399e+05  1.10e-06  2.52e-03  2.25e-02  1.00e+00     5s
 255   5.07764178e+05  1.09e-06  2.46e-03  2.25e-02  1.00e+00     5s
 256   5.07767906e+05  1.08e-06  2.40e-03  2.25e-02  1.00e+00     5s
 257   5.07771586e+05  1.06e-06  2.35e-03  2.25e-02  1.00e+00     5s
 258   5.07775219e+05  1.05e-06  2.29e-03  2.25e-02  1.00e+00     5s
 259   5.07778805e+05  1.04e-06  2.23e-03  2.25e-02  1.00e+00     5s
 260   5.07782346e+05  1.02e-06  2.18e-03  2.25e-02  1.00e+00     5s
 261   5.07785842e+05  1.01e-06  2.12e-03  2.25e-02  1.00e+00     5s
 262   5.05356949e+05  7.58e-01  2.51e+03  1.20e-02  3.09e-01     5s
 263   5.01805862e+05  4.26e+00  2.51e+03  7.62e-03  4.50e-01     5s
 264   4.99894851e+05  2.33e+00  1.83e+03  6.57e-03  4.66e-01     5s
 265   4.99566293e+05  2.18e+00  1.24e+04  4.55e-03  9.11e-02     5s
 266   4.99387013e+05  2.06e+00  1.15e+04  4.22e-03  5.56e-02     5s
 267   4.99173584e+05  1.93e+00  1.54e+04  3.84e-03  7.10e-02     5s
 268   4.98920219e+05  1.76e+00  1.43e+04  3.79e-03  9.26e-02     5s
 269   4.98669440e+05  1.59e+00  1.25e+04  3.74e-03  1.01e-01     5s
 270   4.97114857e+05  1.02e+00  1.91e+03  3.39e-03  1.00e+00     5s
 271   4.96604905e+05  1.30e+00  3.50e+03  3.38e-03  6.51e-01     5s
 272   4.96422354e+05  3.06e-01  4.48e+01  3.37e-03  1.00e+00     5s
 273   4.96410679e+05  5.17e-02  1.92e+00  3.37e-03  1.00e+00     5s
 274   4.96410781e+05  2.63e-06  2.18e-01  3.37e-03  1.00e+00     5s
 275   4.96411746e+05  2.57e-06  3.49e-02  3.37e-03  1.00e+00     5s
