id,group,input_sha256,initial_flow_sha256,physical_pass,cost,outer_status,outer_converged,local_stationarity_checked,cost_optimization_complete,elapsed_sec,iterations,restoration_status,restoration_accepted,v2_physical_pass,v2_cost,v2_outer_status,cost_change,physical_recovery,stationarity_check,final_objective_kind
single-no-halfspace,robustness,1edcf60d35079ba126c253525d622dc104b7c8b503d71c153fb76e7a0aef8f4d,606a2ee87c1656b559b9e3e2170ddbb74c60a5032772579cf78b7dfd8b66d430,true,77.87470196310196,iteration_limit,false,false,true,41.56779840000672,200,not_needed_or_disabled,0,true,77.87470196310196,iteration_limit,0.0,true,true,operating_cost
two-no-halfspace,robustness,f10c3b178026651914295a9f98a9d18e23721b859954460ed4b6341696d1d9af,4fa9df0f03d5e576a005a793c75398a92afce5e11364ed52914b2a86be10427c,true,177.40990446630485,iteration_limit,false,false,true,74.49326449999353,200,not_needed_or_disabled,0,true,177.4099050414011,iteration_limit,-5.750962372985668e-7,true,true,operating_cost
single-low-flow,robustness,1edcf60d35079ba126c253525d622dc104b7c8b503d71c153fb76e7a0aef8f4d,9eee20ea2c8d5ffe9332771f1c9728a055cbd7c2b6abf066aa323f80e4e4a0fe,true,76.8461395620194,local_stationarity_checked,false,true,true,29.01355329999933,169,not_needed_or_disabled,0,true,76.8461395620194,local_direction_stalled,0.0,true,true,operating_cost
single-impossible-heat,robustness,1a887231396f30e35146fb2145548a0c11eea9f8ee282047e2822dd6cb6ad26a,0e9d4da1748a1b374c3e0d4c00c39ec2f393b09e735f5f49bf0043ee92c5d91d,false,,local_direction_stalled,false,false,false,2.7110797000059392,25,not_needed_or_disabled,0,false,,local_direction_stalled,,true,true,none
single-loose-electric,robustness,7c2a65f5002b2f387b5045061a8f28b33bb94c0b97c3a91847fdbca8a0682d8a,0e9d4da1748a1b374c3e0d4c00c39ec2f393b09e735f5f49bf0043ee92c5d91d,true,0.0,smooth_numeric_stop,true,false,true,1.5624283000070136,4,physical_A1_pass,4,true,0.0,smooth_numeric_stop,0.0,true,true,operating_cost
single-delay-switch,robustness,a1b63ef9b85aa54f634ddd08535c36b0ad1601c44c0585c2e58775d416b9ad58,0e9d4da1748a1b374c3e0d4c00c39ec2f393b09e735f5f49bf0043ee92c5d91d,true,72.22625870837719,local_stationarity_checked,false,true,true,7.860527899989393,34,not_needed_or_disabled,0,true,72.22624711352557,local_direction_stalled,1.1594851613949686e-5,true,true,operating_cost
single-source-CF_CT-pg,modes,d2a159d9f47cb385dacec0e26f47963f78375536750972761477378280babd1f,17ff411f1f7f74f8ad4522debe8d750ca0d2388326868c7b2f6670dd82c7b344,true,146.6061054352771,fixed_flow_dispatch,false,false,true,1.7314516000042204,0,not_needed_or_disabled,0,true,146.60610546015022,fixed_flow_dispatch,-2.4873116899470915e-8,true,true,operating_cost
single-source-CF_VT-pg,modes,d2a159d9f47cb385dacec0e26f47963f78375536750972761477378280babd1f,17ff411f1f7f74f8ad4522debe8d750ca0d2388326868c7b2f6670dd82c7b344,true,144.5319272816771,fixed_flow_dispatch,false,false,true,0.06300659998669289,0,not_needed_or_disabled,0,true,144.53192730332435,fixed_flow_dispatch,-2.164725287912006e-8,true,true,operating_cost
single-source-VF_CT-pg,modes,d2a159d9f47cb385dacec0e26f47963f78375536750972761477378280babd1f,bbee39b30ba26d597ae6f4eab9aefadf6bbbe93f3b8c8bc56270c4964dd2ba25,true,145.16091308825045,local_stationarity_checked,false,true,true,19.184819100017194,83,not_needed_or_disabled,0,true,145.16090978972585,local_direction_stalled,3.298524603678743e-6,true,true,operating_cost
single-source-VF_VT-pg,modes,d2a159d9f47cb385dacec0e26f47963f78375536750972761477378280babd1f,df8be0767605b409343cfc6c09ba2cf4e080bcc971484db6005bcd1edea11bab,true,143.4513348703797,iteration_limit,false,false,true,68.17687140000635,200,not_needed_or_disabled,0,true,143.4513348934546,iteration_limit,-2.3074903765518684e-8,true,true,operating_cost
two-source-CF_CT-pg,modes,a31cb0ad4684049b587f1358ff4921299dd148344353c871305e1d3e9b43e186,15383863997085b3594423cc6df3f59702edd86e63a325f5d13bf48b35612992,true,457.8891467910046,fixed_flow_dispatch,false,false,true,0.11623670000699349,0,not_needed_or_disabled,0,true,457.8891477154044,fixed_flow_dispatch,-9.243998420060962e-7,true,true,operating_cost
two-source-CF_VT-pg,modes,a31cb0ad4684049b587f1358ff4921299dd148344353c871305e1d3e9b43e186,15383863997085b3594423cc6df3f59702edd86e63a325f5d13bf48b35612992,true,454.15483798705776,fixed_flow_dispatch,false,false,true,0.22133999998914078,0,not_needed_or_disabled,0,true,454.15483869775306,fixed_flow_dispatch,-7.106953034963226e-7,true,true,operating_cost
two-source-VF_CT-pg,modes,a31cb0ad4684049b587f1358ff4921299dd148344353c871305e1d3e9b43e186,27c97ad5b12a5fbb2856ce86c3fe1d99a855f3137673fe8a47bd0cdc57fcfcb3,true,468.4415658552974,untrusted_dual_local_stalled,false,false,false,223.9111324000114,123,physical_A1_pass,4,false,,untrusted_dual_local_stalled,,true,true,physical_violation
two-source-VF_VT-pg,modes,a31cb0ad4684049b587f1358ff4921299dd148344353c871305e1d3e9b43e186,71c273c32d335684419922436a6eb1db889aec299b269a6d0a808f32ef2f142f,true,451.8478674982796,iteration_limit,false,false,true,206.5109278000018,200,not_needed_or_disabled,0,true,451.8478680951255,iteration_limit,-5.968458935967647e-7,true,true,operating_cost
two-source-VF_CT-pg-without-physical-recovery,ablation,a31cb0ad4684049b587f1358ff4921299dd148344353c871305e1d3e9b43e186,27c97ad5b12a5fbb2856ce86c3fe1d99a855f3137673fe8a47bd0cdc57fcfcb3,false,,untrusted_dual_local_stalled,false,false,false,224.13698229999864,123,not_needed_or_disabled,0,false,,untrusted_dual_local_stalled,,false,true,none
two-source-VF_CT-pg-without-stationarity-check,ablation,a31cb0ad4684049b587f1358ff4921299dd148344353c871305e1d3e9b43e186,27c97ad5b12a5fbb2856ce86c3fe1d99a855f3137673fe8a47bd0cdc57fcfcb3,true,468.4415658552974,untrusted_dual_local_stalled,false,false,false,224.58996969999862,123,physical_A1_pass,4,false,,untrusted_dual_local_stalled,,true,false,physical_violation
two-source-schpd-without-physical-recovery,ablation,f10c3b178026651914295a9f98a9d18e23721b859954460ed4b6341696d1d9af,4fa9df0f03d5e576a005a793c75398a92afce5e11364ed52914b2a86be10427c,true,177.37624732723242,local_stationarity_checked,false,true,true,35.92643719998887,98,not_needed_or_disabled,0,true,177.37624732723242,local_direction_stalled,0.0,false,true,operating_cost
two-source-schpd-without-stationarity-check,ablation,f10c3b178026651914295a9f98a9d18e23721b859954460ed4b6341696d1d9af,4fa9df0f03d5e576a005a793c75398a92afce5e11364ed52914b2a86be10427c,true,177.37624732723242,local_direction_stalled,false,false,true,35.96090789997834,98,not_needed_or_disabled,0,true,177.37624732723242,local_direction_stalled,0.0,true,false,operating_cost
single-delay-switch-without-physical-recovery,ablation,a1b63ef9b85aa54f634ddd08535c36b0ad1601c44c0585c2e58775d416b9ad58,0e9d4da1748a1b374c3e0d4c00c39ec2f393b09e735f5f49bf0043ee92c5d91d,true,72.22625870837719,local_stationarity_checked,false,true,true,7.934017300023697,34,not_needed_or_disabled,0,true,72.22624711352557,local_direction_stalled,1.1594851613949686e-5,false,true,operating_cost
single-delay-switch-without-stationarity-check,ablation,a1b63ef9b85aa54f634ddd08535c36b0ad1601c44c0585c2e58775d416b9ad58,0e9d4da1748a1b374c3e0d4c00c39ec2f393b09e735f5f49bf0043ee92c5d91d,true,72.22624711352557,local_direction_stalled,false,false,true,8.4855283999932,35,not_needed_or_disabled,0,true,72.22624711352557,local_direction_stalled,0.0,true,false,operating_cost
