stage,run_id,time_h,t,critical_MW,chp_cap_MW,gt_cap_MW,pv_cap_MW,generation_upper_MW,unserved_lower_MW
aggregate-author_event1,r7-recovery-2fa27847-1b8d-4705-a9b7-a9b358cbcc6b,12.5,11,12.375,6.0,2.0,3.2,11.2,1.1749999999999998
aggregate-author_event1,r7-recovery-2fa27847-1b8d-4705-a9b7-a9b358cbcc6b,12.75,12,12.375,6.0,2.0,3.2,11.2,1.1749999999999998
aggregate-author_event1,r7-recovery-2fa27847-1b8d-4705-a9b7-a9b358cbcc6b,13.0,13,11.962499999999999,6.0,2.0,3.04,11.04,0.9224999999999985
aggregate-author_event1,r7-recovery-2fa27847-1b8d-4705-a9b7-a9b358cbcc6b,13.25,14,11.962499999999999,6.0,2.0,3.04,11.04,0.9224999999999985
aggregate-author_event1,r7-recovery-2fa27847-1b8d-4705-a9b7-a9b358cbcc6b,13.5,15,11.962499999999999,6.0,2.0,3.04,11.04,0.9224999999999985
aggregate-author_event1,r7-recovery-2fa27847-1b8d-4705-a9b7-a9b358cbcc6b,13.75,16,11.962499999999999,6.0,2.0,3.04,11.04,0.9224999999999985
detailed-external_only,r7-transport-0e304a48-28bb-4bc6-9149-1d9be2691a18,10.0,1,13.750000000000002,6.0,2.0,2.72,10.72,3.0300000000000016
detailed-external_only,r7-transport-0e304a48-28bb-4bc6-9149-1d9be2691a18,10.25,2,13.750000000000002,6.0,2.0,2.72,10.72,3.0300000000000016
detailed-external_only,r7-transport-0e304a48-28bb-4bc6-9149-1d9be2691a18,10.5,3,13.750000000000002,6.0,2.0,2.72,10.72,3.0300000000000016
detailed-external_only,r7-transport-0e304a48-28bb-4bc6-9149-1d9be2691a18,10.75,4,13.750000000000002,6.0,2.0,2.72,10.72,3.0300000000000016
detailed-external_only,r7-transport-0e304a48-28bb-4bc6-9149-1d9be2691a18,11.0,5,13.199999999999998,6.0,2.0,3.072,11.072,2.1279999999999974
detailed-external_only,r7-transport-0e304a48-28bb-4bc6-9149-1d9be2691a18,11.25,6,13.199999999999998,6.0,2.0,3.072,11.072,2.1279999999999974
detailed-external_only,r7-transport-0e304a48-28bb-4bc6-9149-1d9be2691a18,11.5,7,13.199999999999998,6.0,2.0,3.072,11.072,2.1279999999999974
detailed-external_only,r7-transport-0e304a48-28bb-4bc6-9149-1d9be2691a18,11.75,8,13.199999999999998,6.0,2.0,3.072,11.072,2.1279999999999974
detailed-external_only,r7-transport-0e304a48-28bb-4bc6-9149-1d9be2691a18,12.0,9,12.375,6.0,2.0,3.2,11.2,1.1749999999999998
detailed-external_only,r7-transport-0e304a48-28bb-4bc6-9149-1d9be2691a18,12.25,10,12.375,6.0,2.0,3.2,11.2,1.1749999999999998
detailed-external_only,r7-transport-0e304a48-28bb-4bc6-9149-1d9be2691a18,12.5,11,12.375,6.0,2.0,3.2,11.2,1.1749999999999998
detailed-external_only,r7-transport-0e304a48-28bb-4bc6-9149-1d9be2691a18,12.75,12,12.375,6.0,2.0,3.2,11.2,1.1749999999999998
detailed-external_only,r7-transport-0e304a48-28bb-4bc6-9149-1d9be2691a18,13.0,13,11.962499999999999,6.0,2.0,3.04,11.04,0.9224999999999985
detailed-external_only,r7-transport-0e304a48-28bb-4bc6-9149-1d9be2691a18,13.25,14,11.962499999999999,6.0,2.0,3.04,11.04,0.9224999999999985
detailed-external_only,r7-transport-0e304a48-28bb-4bc6-9149-1d9be2691a18,13.5,15,11.962499999999999,6.0,2.0,3.04,11.04,0.9224999999999985
detailed-external_only,r7-transport-0e304a48-28bb-4bc6-9149-1d9be2691a18,13.75,16,11.962499999999999,6.0,2.0,3.04,11.04,0.9224999999999985
detailed-single_1_2,r7-transport-a2273f35-7e1b-47d7-86b8-a7b9a9a260e0,10.0,1,13.750000000000002,6.0,2.0,2.72,10.72,3.0300000000000016
detailed-single_1_2,r7-transport-a2273f35-7e1b-47d7-86b8-a7b9a9a260e0,10.25,2,13.750000000000002,6.0,2.0,2.72,10.72,3.0300000000000016
detailed-single_1_2,r7-transport-a2273f35-7e1b-47d7-86b8-a7b9a9a260e0,10.5,3,13.750000000000002,6.0,2.0,2.72,10.72,3.0300000000000016
detailed-single_1_2,r7-transport-a2273f35-7e1b-47d7-86b8-a7b9a9a260e0,10.75,4,13.750000000000002,6.0,2.0,2.72,10.72,3.0300000000000016
detailed-single_1_2,r7-transport-a2273f35-7e1b-47d7-86b8-a7b9a9a260e0,11.0,5,13.199999999999998,6.0,2.0,3.072,11.072,2.1279999999999974
detailed-single_1_2,r7-transport-a2273f35-7e1b-47d7-86b8-a7b9a9a260e0,11.25,6,13.199999999999998,6.0,2.0,3.072,11.072,2.1279999999999974
detailed-single_1_2,r7-transport-a2273f35-7e1b-47d7-86b8-a7b9a9a260e0,11.5,7,13.199999999999998,6.0,2.0,3.072,11.072,2.1279999999999974
detailed-single_1_2,r7-transport-a2273f35-7e1b-47d7-86b8-a7b9a9a260e0,11.75,8,13.199999999999998,6.0,2.0,3.072,11.072,2.1279999999999974
detailed-single_1_2,r7-transport-a2273f35-7e1b-47d7-86b8-a7b9a9a260e0,12.0,9,12.375,6.0,2.0,3.2,11.2,1.1749999999999998
detailed-single_1_2,r7-transport-a2273f35-7e1b-47d7-86b8-a7b9a9a260e0,12.25,10,12.375,6.0,2.0,3.2,11.2,1.1749999999999998
detailed-single_1_2,r7-transport-a2273f35-7e1b-47d7-86b8-a7b9a9a260e0,12.5,11,12.375,6.0,2.0,3.2,11.2,1.1749999999999998
detailed-single_1_2,r7-transport-a2273f35-7e1b-47d7-86b8-a7b9a9a260e0,12.75,12,12.375,6.0,2.0,3.2,11.2,1.1749999999999998
detailed-single_1_2,r7-transport-a2273f35-7e1b-47d7-86b8-a7b9a9a260e0,13.0,13,11.962499999999999,6.0,2.0,3.04,11.04,0.9224999999999985
detailed-single_1_2,r7-transport-a2273f35-7e1b-47d7-86b8-a7b9a9a260e0,13.25,14,11.962499999999999,6.0,2.0,3.04,11.04,0.9224999999999985
detailed-single_1_2,r7-transport-a2273f35-7e1b-47d7-86b8-a7b9a9a260e0,13.5,15,11.962499999999999,6.0,2.0,3.04,11.04,0.9224999999999985
detailed-single_1_2,r7-transport-a2273f35-7e1b-47d7-86b8-a7b9a9a260e0,13.75,16,11.962499999999999,6.0,2.0,3.04,11.04,0.9224999999999985
detailed-author_event1,r7-transport-801c48d0-4737-4bc6-b33d-64a77b230d9f,10.0,1,13.750000000000002,6.0,2.0,2.72,10.72,3.0300000000000016
detailed-author_event1,r7-transport-801c48d0-4737-4bc6-b33d-64a77b230d9f,10.25,2,13.750000000000002,6.0,2.0,2.72,10.72,3.0300000000000016
detailed-author_event1,r7-transport-801c48d0-4737-4bc6-b33d-64a77b230d9f,10.5,3,13.750000000000002,6.0,2.0,2.72,10.72,3.0300000000000016
detailed-author_event1,r7-transport-801c48d0-4737-4bc6-b33d-64a77b230d9f,10.75,4,13.750000000000002,6.0,2.0,2.72,10.72,3.0300000000000016
detailed-author_event1,r7-transport-801c48d0-4737-4bc6-b33d-64a77b230d9f,11.0,5,13.199999999999998,6.0,2.0,3.072,11.072,2.1279999999999974
detailed-author_event1,r7-transport-801c48d0-4737-4bc6-b33d-64a77b230d9f,11.25,6,13.199999999999998,6.0,2.0,3.072,11.072,2.1279999999999974
detailed-author_event1,r7-transport-801c48d0-4737-4bc6-b33d-64a77b230d9f,11.5,7,13.199999999999998,6.0,2.0,3.072,11.072,2.1279999999999974
detailed-author_event1,r7-transport-801c48d0-4737-4bc6-b33d-64a77b230d9f,11.75,8,13.199999999999998,6.0,2.0,3.072,11.072,2.1279999999999974
detailed-author_event1,r7-transport-801c48d0-4737-4bc6-b33d-64a77b230d9f,12.0,9,12.375,6.0,2.0,3.2,11.2,1.1749999999999998
detailed-author_event1,r7-transport-801c48d0-4737-4bc6-b33d-64a77b230d9f,12.25,10,12.375,6.0,2.0,3.2,11.2,1.1749999999999998
detailed-author_event1,r7-transport-801c48d0-4737-4bc6-b33d-64a77b230d9f,12.5,11,12.375,6.0,2.0,3.2,11.2,1.1749999999999998
detailed-author_event1,r7-transport-801c48d0-4737-4bc6-b33d-64a77b230d9f,12.75,12,12.375,6.0,2.0,3.2,11.2,1.1749999999999998
detailed-author_event1,r7-transport-801c48d0-4737-4bc6-b33d-64a77b230d9f,13.0,13,11.962499999999999,6.0,2.0,3.04,11.04,0.9224999999999985
detailed-author_event1,r7-transport-801c48d0-4737-4bc6-b33d-64a77b230d9f,13.25,14,11.962499999999999,6.0,2.0,3.04,11.04,0.9224999999999985
detailed-author_event1,r7-transport-801c48d0-4737-4bc6-b33d-64a77b230d9f,13.5,15,11.962499999999999,6.0,2.0,3.04,11.04,0.9224999999999985
detailed-author_event1,r7-transport-801c48d0-4737-4bc6-b33d-64a77b230d9f,13.75,16,11.962499999999999,6.0,2.0,3.04,11.04,0.9224999999999985
