record_id,run_id,case,mode,market_case_sha256,selection_status,selection_pass,delivery_status,delivery_pass,cost_complete,market_payment_USD,recourse_USD,total_cost_USD,parent_selected_cost_USD,conditional_cost_change_USD,bound_scope,worst_risk,elapsed_sec
competitive_future_e030_r005-saved_independent,r5-delivery-996a5b1a-08b5-4253-b86f-1b6774a197b9,competitive_future_e030_r005,saved_independent,f5a5669507162aa09455e349bf205b026476c0cf27e8d37006cdfec8029d17a7,preserved_parent_market_witness,true,solver_optimal,true,true,0.0,43.74458290926382,43.74458290926382,-13.550890621602786,57.2954735308666,fixed_bids_and_executed_awards_only,0.3,1.0439999103546143
competitive_future_e030_r005-minimum_norm,r5-delivery-bca1dcad-e72a-4d40-931b-e3bfb0f0c202,competitive_future_e030_r005,minimum_norm,f5a5669507162aa09455e349bf205b026476c0cf27e8d37006cdfec8029d17a7,selection_solved,true,solver_optimal,true,true,-19.999999957485386,43.36555270994298,23.365552752457596,-13.550890621602786,36.91644337406038,fixed_bids_and_executed_awards_only,0.3,1.5210001468658447
merit_strategic-saved_selected,r5-delivery-b86f34aa-c2be-4af2-b16c-dac7d41e270a,merit_strategic,saved_selected,e6491ea1f5e692c3fd96f97c3219c84cb76da3cfed3ac06efc767ba1fa32b825,preserved_parent_market_witness,true,solver_optimal,true,true,2.0,5.460000000000004,7.460000000000004,7.460000000000016,-1.1546319456101628e-14,fixed_bids_and_executed_awards_only,0.0,0.4219999313354492
merit_strategic-saved_independent,r5-delivery-52bada26-3368-42a2-bb22-788b2dd8d36d,merit_strategic,saved_independent,e6491ea1f5e692c3fd96f97c3219c84cb76da3cfed3ac06efc767ba1fa32b825,preserved_parent_market_witness,true,solver_optimal,true,true,0.0,18.460000000000004,18.460000000000004,7.460000000000016,10.99999999999999,fixed_bids_and_executed_awards_only,0.0,0.6189999580383301
merit_strategic-minimum_norm,r5-delivery-d3835d0f-1122-4fc5-88ad-11fa06e86580,merit_strategic,minimum_norm,e6491ea1f5e692c3fd96f97c3219c84cb76da3cfed3ac06efc767ba1fa32b825,selection_solved,true,solver_optimal,true,true,1.0808425156223149e-10,18.46000000497187,18.460000005079955,7.460000000000016,11.00000000507994,fixed_bids_and_executed_awards_only,0.0,1.4120001792907715
merit_fixed_bid-saved_selected,r5-delivery-0cf229dd-0c64-4af9-8c17-d02be6d21135,merit_fixed_bid,saved_selected,cd4f8d55d8e430ac369572fad27755f7b75597e4412eb6d028a8bdbfa1a38416,preserved_parent_market_witness,true,solver_optimal,true,true,14.200000000000005,0.0,14.200000000000005,14.200000000000005,0.0,fixed_bids_and_executed_awards_only,0.0,0.6069998741149902
merit_fixed_bid-saved_independent,r5-delivery-ed9230ff-58e5-49ec-8bc6-cc81d3925700,merit_fixed_bid,saved_independent,cd4f8d55d8e430ac369572fad27755f7b75597e4412eb6d028a8bdbfa1a38416,preserved_parent_market_witness,true,solver_infeasible,false,false,NaN,NaN,NaN,14.200000000000005,NaN,no_delivery_candidate,NaN,0.2589998245239258
merit_fixed_bid-minimum_norm,r5-delivery-e5dc7609-f039-4cc7-8866-e780e0ef221f,merit_fixed_bid,minimum_norm,cd4f8d55d8e430ac369572fad27755f7b75597e4412eb6d028a8bdbfa1a38416,selection_solved,true,solver_optimal,true,true,10.000000000825388,5.459999998927001,15.45999999975239,14.200000000000005,1.2599999997523845,fixed_bids_and_executed_awards_only,0.0,0.9869999885559082
competitive_physical_infeasible-preset_minimum_norm,r5-delivery-27671fcf-cf96-4f64-9690-3e04f8e4fe5e,competitive_physical_infeasible,preset_minimum_norm,8dce1cb466847a20699817f80189dd6495e7f583bf517e8141867645356faea3,selection_solved,true,solver_infeasible,false,false,-4.9999999902981855,NaN,NaN,NaN,NaN,no_delivery_candidate,NaN,1.1410000324249268
scarcity_unbounded_price-preset_minimum_norm,r5-delivery-01305269-cf50-4c5c-a893-055791499381,scarcity_unbounded_price,preset_minimum_norm,28f8055c1187acacb3e817b6d1a2b40a04fe7a78c9314bd2b5e6ac77c8906b53,selection_solved,true,solver_optimal,true,true,-4.999999999336998,8.435000000103654,3.4350000007666566,NaN,NaN,fixed_bids_and_executed_awards_only,0.0,0.9749999046325684
market-hand_hour-minimum_norm,r5-execution-7e2c19b0-a234-4177-8ac8-83533f3f59f8,hand_hour,market_only,955521c4ee8b3de52ec03bce12d5d6037e395d4e119296cd8277fec852bbd3a0,selection_solved,true,not_applicable,false,false,599.9999999999235,NaN,NaN,NaN,NaN,no_delivery_candidate,NaN,0.43899989128112793
market-wide_line-minimum_norm,r5-execution-1d7ee01f-303c-45fc-bd64-e515fe3a5134,wide_line,market_only,1c3a0de4705a0f7127f49c9cc3ebba08c627dfb567cbad44097ff321d9324aac,selection_solved,true,not_applicable,false,false,5879.9999999277225,NaN,NaN,NaN,NaN,no_delivery_candidate,NaN,1.6740000247955322
