variable,value,equation
_[18260],42.07936507936495,-0.9563492063492056 _[9709] + 0.9563492063492056 _[15109] + _[18260] == 0
_[18261],40.16666666666657,-0.9563492063492056 _[9747] + 0.9563492063492056 _[15147] + _[18261] == 0
_[18262],39.21031746031747,-0.9563492063492056 _[9785] + 0.9563492063492056 _[15185] + _[18262] == 0
_[18263],38.25396825396831,-0.9563492063492056 _[9823] + 0.9563492063492056 _[15223] + _[18263] == 0
_[18264],38.25396825396746,-0.9563492063492056 _[9861] + 0.9563492063492056 _[15261] + _[18264] == 0
_[18265],38.25396825396825,-0.9563492063492074 _[8988] + 0.9563492063492074 _[14388] + _[18265] == 0
_[18266],38.25396825396825,-0.9563492063492074 _[9026] + 0.9563492063492074 _[14426] + _[18266] == 0
_[18267],37.297619047619094,-0.9563492063492074 _[9064] + 0.9563492063492074 _[14464] + _[18267] == 0
_[18268],36.34126984126988,-0.9563492063492074 _[9102] + 0.9563492063492074 _[14502] + _[18268] == 0
_[18269],38.25396825396825,-0.9563492063492074 _[9140] + 0.9563492063492074 _[14540] + _[18269] == 0
_[18270],42.07936507936506,-0.9563492063492074 _[9178] + 0.9563492063492074 _[14578] + _[18270] == 0
_[18271],45.904761904761926,-0.9563492063492074 _[9216] + 0.9563492063492074 _[14616] + _[18271] == 0
_[18272],47.817460317460245,-0.9563492063492074 _[9254] + 0.9563492063492074 _[14654] + _[18272] == 0
_[18273],45.90476190476181,-0.9563492063492074 _[9292] + 0.9563492063492074 _[14692] + _[18273] == 0
_[18274],42.07936507936495,-0.9563492063492074 _[9330] + 0.9563492063492074 _[14730] + _[18274] == 0
_[18275],39.21031746031741,-0.9563492063492074 _[9368] + 0.9563492063492074 _[14768] + _[18275] == 0
_[18276],38.25396825396825,-0.9563492063492074 _[9406] + 0.9563492063492074 _[14806] + _[18276] == 0
_[18277],37.29761904761904,-0.9563492063492074 _[9444] + 0.9563492063492074 _[14844] + _[18277] == 0
_[18278],36.34126984126982,-0.9563492063492074 _[9482] + 0.9563492063492074 _[14882] + _[18278] == 0
_[18279],37.29761904761904,-0.9563492063492074 _[9520] + 0.9563492063492074 _[14920] + _[18279] == 0
_[18280],40.166666666666686,-0.9563492063492074 _[9558] + 0.9563492063492074 _[14958] + _[18280] == 0
_[18281],43.99206349206344,-0.9563492063492074 _[9596] + 0.9563492063492074 _[14996] + _[18281] == 0
_[18282],46.86111111111097,-0.9563492063492074 _[9634] + 0.9563492063492074 _[15034] + _[18282] == 0
_[18283],44.9484126984126,-0.9563492063492074 _[9672] + 0.9563492063492074 _[15072] + _[18283] == 0
_[18284],42.079365079365004,-0.9563492063492074 _[9710] + 0.9563492063492074 _[15110] + _[18284] == 0
_[18285],40.166666666666686,-0.9563492063492074 _[9748] + 0.9563492063492074 _[15148] + _[18285] == 0
_[18286],39.21031746031747,-0.9563492063492074 _[9786] + 0.9563492063492074 _[15186] + _[18286] == 0
_[18287],38.25396825396814,-0.9563492063492074 _[9824] + 0.9563492063492074 _[15224] + _[18287] == 0
_[18288],38.25396825396757,-0.9563492063492074 _[9862] + 0.9563492063492074 _[15262] + _[18288] == 0
_[18289],38.25396825396825,-0.9563492063492065 _[8989] + 0.9563492063492065 _[14389] + _[18289] == 0
_[18290],38.25396825396825,-0.9563492063492065 _[9027] + 0.9563492063492065 _[14427] + _[18290] == 0
_[18291],37.297619047619094,-0.9563492063492065 _[9065] + 0.9563492063492065 _[14465] + _[18291] == 0
_[18292],36.34126984126988,-0.9563492063492065 _[9103] + 0.9563492063492065 _[14503] + _[18292] == 0
_[18293],38.253968253968196,-0.9563492063492065 _[9141] + 0.9563492063492065 _[14541] + _[18293] == 0
_[18294],42.07936507936506,-0.9563492063492065 _[9179] + 0.9563492063492065 _[14579] + _[18294] == 0
_[18295],45.90476190476187,-0.9563492063492065 _[9217] + 0.9563492063492065 _[14617] + _[18295] == 0
_[18296],47.817460317460245,-0.9563492063492065 _[9255] + 0.9563492063492065 _[14655] + _[18296] == 0
_[18297],45.904761904761756,-0.9563492063492065 _[9293] + 0.9563492063492065 _[14693] + _[18297] == 0
_[18298],42.079365079365004,-0.9563492063492065 _[9331] + 0.9563492063492065 _[14731] + _[18298] == 0
_[18299],39.210317460317356,-0.9563492063492065 _[9369] + 0.9563492063492065 _[14769] + _[18299] == 0
_[18300],38.253968253968196,-0.9563492063492065 _[9407] + 0.9563492063492065 _[14807] + _[18300] == 0
_[18301],37.29761904761904,-0.9563492063492065 _[9445] + 0.9563492063492065 _[14845] + _[18301] == 0
_[18302],36.34126984126982,-0.9563492063492065 _[9483] + 0.9563492063492065 _[14883] + _[18302] == 0
_[18303],37.29761904761904,-0.9563492063492065 _[9521] + 0.9563492063492065 _[14921] + _[18303] == 0
_[18304],40.16666666666663,-0.9563492063492065 _[9559] + 0.9563492063492065 _[14959] + _[18304] == 0
_[18305],43.99206349206338,-0.9563492063492065 _[9597] + 0.9563492063492065 _[14997] + _[18305] == 0
_[18306],46.86111111111097,-0.9563492063492065 _[9635] + 0.9563492063492065 _[15035] + _[18306] == 0
_[18307],44.94841269841254,-0.9563492063492065 _[9673] + 0.9563492063492065 _[15073] + _[18307] == 0
_[18308],42.079365079365004,-0.9563492063492065 _[9711] + 0.9563492063492065 _[15111] + _[18308] == 0
_[18309],40.16666666666663,-0.9563492063492065 _[9749] + 0.9563492063492065 _[15149] + _[18309] == 0
_[18310],39.21031746031747,-0.9563492063492065 _[9787] + 0.9563492063492065 _[15187] + _[18310] == 0
_[18311],38.25396825396808,-0.9563492063492065 _[9825] + 0.9563492063492065 _[15225] + _[18311] == 0
_[18312],38.253968253967344,-0.9563492063492065 _[9863] + 0.9563492063492065 _[15263] + _[18312] == 0
_[18313],38.25396825396825,-0.9563492063492065 _[8990] + 0.9563492063492065 _[14390] + _[18313] == 0
_[18314],38.25396825396825,-0.9563492063492065 _[9028] + 0.9563492063492065 _[14428] + _[18314] == 0
_[18315],37.297619047619094,-0.9563492063492065 _[9066] + 0.9563492063492065 _[14466] + _[18315] == 0
_[18316],36.34126984126988,-0.9563492063492065 _[9104] + 0.9563492063492065 _[14504] + _[18316] == 0
_[18317],38.25396825396825,-0.9563492063492065 _[9142] + 0.9563492063492065 _[14542] + _[18317] == 0
_[18318],42.07936507936512,-0.9563492063492065 _[9180] + 0.9563492063492065 _[14580] + _[18318] == 0
_[18319],45.90476190476187,-0.9563492063492065 _[9218] + 0.9563492063492065 _[14618] + _[18319] == 0
_[18320],47.817460317460245,-0.9563492063492065 _[9256] + 0.9563492063492065 _[14656] + _[18320] == 0
_[18321],45.904761904761756,-0.9563492063492065 _[9294] + 0.9563492063492065 _[14694] + _[18321] == 0
_[18322],42.079365079365004,-0.9563492063492065 _[9332] + 0.9563492063492065 _[14732] + _[18322] == 0
_[18323],39.21031746031741,-0.9563492063492065 _[9370] + 0.9563492063492065 _[14770] + _[18323] == 0
_[18324],38.25396825396825,-0.9563492063492065 _[9408] + 0.9563492063492065 _[14808] + _[18324] == 0
_[18325],37.297619047619094,-0.9563492063492065 _[9446] + 0.9563492063492065 _[14846] + _[18325] == 0
_[18326],36.34126984126988,-0.9563492063492065 _[9484] + 0.9563492063492065 _[14884] + _[18326] == 0
_[18327],37.297619047619094,-0.9563492063492065 _[9522] + 0.9563492063492065 _[14922] + _[18327] == 0
_[18328],40.16666666666663,-0.9563492063492065 _[9560] + 0.9563492063492065 _[14960] + _[18328] == 0
_[18329],43.99206349206338,-0.9563492063492065 _[9598] + 0.9563492063492065 _[14998] + _[18329] == 0
_[18330],46.86111111111103,-0.9563492063492065 _[9636] + 0.9563492063492065 _[15036] + _[18330] == 0
_[18331],44.9484126984126,-0.9563492063492065 _[9674] + 0.9563492063492065 _[15074] + _[18331] == 0
_[18332],42.079365079365004,-0.9563492063492065 _[9712] + 0.9563492063492065 _[15112] + _[18332] == 0
_[18333],40.16666666666663,-0.9563492063492065 _[9750] + 0.9563492063492065 _[15150] + _[18333] == 0
_[18334],39.21031746031741,-0.9563492063492065 _[9788] + 0.9563492063492065 _[15188] + _[18334] == 0
_[18335],38.25396825396797,-0.9563492063492065 _[9826] + 0.9563492063492065 _[15226] + _[18335] == 0
_[18336],38.25396825396825,-0.9563492063492065 _[9864] + 0.9563492063492065 _[15264] + _[18336] == 0
_[18337],153.53638638468965,-3.571428571428573 _[8991] + 3.571428571428573 _[14391] + _[18337] == 0
_[18338],153.4957691599875,-3.571428571428573 _[9029] + 3.571428571428573 _[14429] + _[18338] == 0
_[18339],151.42764394190726,-3.571428571428573 _[9067] + 3.571428571428573 _[14467] + _[18339] == 0
_[18340],148.23592791103033,-3.571428571428573 _[9105] + 3.571428571428573 _[14505] + _[18340] == 0
_[18341],150.9674844852466,-3.571428571428573 _[9143] + 3.571428571428573 _[14543] + _[18341] == 0
_[18342],161.17093124446228,-3.571428571428573 _[9181] + 3.571428571428573 _[14581] + _[18342] == 0
_[18343],174.4424483983032,-3.571428571428573 _[9219] + 3.571428571428573 _[14619] + _[18343] == 0
_[18344],184.2418536586481,-3.571428571428573 _[9257] + 3.571428571428573 _[14657] + _[18344] == 0
_[18345],183.61103767320992,-3.571428571428573 _[9295] + 3.571428571428573 _[14695] + _[18345] == 0
_[18346],173.80457886429167,-3.571428571428573 _[9333] + 3.571428571428573 _[14733] + _[18346] == 0
_[18347],162.64462679377607,-3.571428571428573 _[9371] + 3.571428571428573 _[14771] + _[18347] == 0
_[18348],156.03984057781872,-3.571428571428573 _[9409] + 3.571428571428573 _[14809] + _[18348] == 0
_[18349],151.87387778447078,-3.571428571428573 _[9447] + 3.571428571428573 _[14847] + _[18349] == 0
_[18350],148.2852541762643,-3.571428571428573 _[9485] + 3.571428571428573 _[14885] + _[18350] == 0
_[18351],148.90524566715544,-3.571428571428573 _[9523] + 3.571428571428573 _[14923] + _[18351] == 0
_[18352],155.91407338198337,-3.571428571428573 _[9561] + 3.571428571428573 _[14961] + _[18352] == 0
_[18353],167.78646158199922,-3.571428571428573 _[9599] + 3.571428571428573 _[14999] + _[18353] == 0
_[18354],179.34073970820396,-3.571428571428573 _[9637] + 3.571428571428573 _[15037] + _[18354] == 0
_[18355],179.79580032437116,-3.571428571428573 _[9675] + 3.571428571428573 _[15075] + _[18355] == 0
_[18356],172.32453695293225,-3.571428571428573 _[9713] + 3.571428571428573 _[15113] + _[18356] == 0
_[18357],164.39385437855003,-3.571428571428573 _[9751] + 3.571428571428573 _[15151] + _[18357] == 0
_[18358],159.19085901102608,-3.571428571428573 _[9789] + 3.571428571428573 _[15189] + _[18358] == 0
_[18359],155.3354063023237,-3.571428571428573 _[9827] + 3.571428571428573 _[15227] + _[18359] == 0
_[18360],153.85254175042041,-3.571428571428573 _[9865] + 3.571428571428573 _[15265] + _[18360] == 0
_[18361],38.25396825396825,-0.9563492063492065 _[8992] + 0.9563492063492065 _[14392] + _[18361] == 0
_[18362],38.25396825396825,-0.9563492063492065 _[9030] + 0.9563492063492065 _[14430] + _[18362] == 0
_[18363],37.297619047619094,-0.9563492063492065 _[9068] + 0.9563492063492065 _[14468] + _[18363] == 0
_[18364],36.34126984126982,-0.9563492063492065 _[9106] + 0.9563492063492065 _[14506] + _[18364] == 0
_[18365],38.25396825396825,-0.9563492063492065 _[9144] + 0.9563492063492065 _[14544] + _[18365] == 0
_[18366],42.07936507936506,-0.9563492063492065 _[9182] + 0.9563492063492065 _[14582] + _[18366] == 0
_[18367],45.904761904761926,-0.9563492063492065 _[9220] + 0.9563492063492065 _[14620] + _[18367] == 0
_[18368],47.817460317460245,-0.9563492063492065 _[9258] + 0.9563492063492065 _[14658] + _[18368] == 0
_[18369],45.90476190476187,-0.9563492063492065 _[9296] + 0.9563492063492065 _[14696] + _[18369] == 0
_[18370],42.079365079365004,-0.9563492063492065 _[9334] + 0.9563492063492065 _[14734] + _[18370] == 0
_[18371],39.21031746031747,-0.9563492063492065 _[9372] + 0.9563492063492065 _[14772] + _[18371] == 0
_[18372],38.25396825396825,-0.9563492063492065 _[9410] + 0.9563492063492065 _[14810] + _[18372] == 0
_[18373],37.29761904761904,-0.9563492063492065 _[9448] + 0.9563492063492065 _[14848] + _[18373] == 0
_[18374],36.34126984126982,-0.9563492063492065 _[9486] + 0.9563492063492065 _[14886] + _[18374] == 0
_[18375],37.29761904761904,-0.9563492063492065 _[9524] + 0.9563492063492065 _[14924] + _[18375] == 0
_[18376],40.166666666666686,-0.9563492063492065 _[9562] + 0.9563492063492065 _[14962] + _[18376] == 0
_[18377],43.99206349206344,-0.9563492063492065 _[9600] + 0.9563492063492065 _[15000] + _[18377] == 0
_[18378],46.86111111111103,-0.9563492063492065 _[9638] + 0.9563492063492065 _[15038] + _[18378] == 0
_[18379],44.94841269841265,-0.9563492063492065 _[9676] + 0.9563492063492065 _[15076] + _[18379] == 0
_[18380],42.07936507936506,-0.9563492063492065 _[9714] + 0.9563492063492065 _[15114] + _[18380] == 0
_[18381],40.166666666666686,-0.9563492063492065 _[9752] + 0.9563492063492065 _[15152] + _[18381] == 0
_[18382],39.21031746031741,-0.9563492063492065 _[9790] + 0.9563492063492065 _[15190] + _[18382] == 0
_[18383],38.25396825396882,-0.9563492063492065 _[9828] + 0.9563492063492065 _[15228] + _[18383] == 0
_[18384],38.25396825396791,-0.9563492063492065 _[9866] + 0.9563492063492065 _[15266] + _[18384] == 0
_[18385],38.253968253968196,-0.9563492063492065 _[8993] + 0.9563492063492065 _[14393] + _[18385] == 0
_[18386],38.25396825396825,-0.9563492063492065 _[9031] + 0.9563492063492065 _[14431] + _[18386] == 0
_[18387],37.297619047619094,-0.9563492063492065 _[9069] + 0.9563492063492065 _[14469] + _[18387] == 0
_[18388],36.34126984126988,-0.9563492063492065 _[9107] + 0.9563492063492065 _[14507] + _[18388] == 0
_[18389],38.25396825396825,-0.9563492063492065 _[9145] + 0.9563492063492065 _[14545] + _[18389] == 0
_[18390],42.07936507936512,-0.9563492063492065 _[9183] + 0.9563492063492065 _[14583] + _[18390] == 0
_[18391],45.904761904761926,-0.9563492063492065 _[9221] + 0.9563492063492065 _[14621] + _[18391] == 0
_[18392],47.8174603174603,-0.9563492063492065 _[9259] + 0.9563492063492065 _[14659] + _[18392] == 0
_[18393],45.90476190476187,-0.9563492063492065 _[9297] + 0.9563492063492065 _[14697] + _[18393] == 0
_[18394],42.07936507936506,-0.9563492063492065 _[9335] + 0.9563492063492065 _[14735] + _[18394] == 0
_[18395],39.21031746031741,-0.9563492063492065 _[9373] + 0.9563492063492065 _[14773] + _[18395] == 0
_[18396],38.25396825396825,-0.9563492063492065 _[9411] + 0.9563492063492065 _[14811] + _[18396] == 0
_[18397],37.29761904761904,-0.9563492063492065 _[9449] + 0.9563492063492065 _[14849] + _[18397] == 0
_[18398],36.34126984126988,-0.9563492063492065 _[9487] + 0.9563492063492065 _[14887] + _[18398] == 0
_[18399],37.29761904761904,-0.9563492063492065 _[9525] + 0.9563492063492065 _[14925] + _[18399] == 0
_[18400],40.166666666666686,-0.9563492063492065 _[9563] + 0.9563492063492065 _[14963] + _[18400] == 0
_[18401],43.99206349206344,-0.9563492063492065 _[9601] + 0.9563492063492065 _[15001] + _[18401] == 0
_[18402],46.861111111111086,-0.9563492063492065 _[9639] + 0.9563492063492065 _[15039] + _[18402] == 0
_[18403],44.94841269841265,-0.9563492063492065 _[9677] + 0.9563492063492065 _[15077] + _[18403] == 0
_[18404],42.07936507936512,-0.9563492063492065 _[9715] + 0.9563492063492065 _[15115] + _[18404] == 0
_[18405],40.166666666666686,-0.9563492063492065 _[9753] + 0.9563492063492065 _[15153] + _[18405] == 0
_[18406],39.21031746031741,-0.9563492063492065 _[9791] + 0.9563492063492065 _[15191] + _[18406] == 0
_[18407],38.25396825396888,-0.9563492063492065 _[9829] + 0.9563492063492065 _[15229] + _[18407] == 0
_[18408],38.253968253968196,-0.9563492063492065 _[9867] + 0.9563492063492065 _[15267] + _[18408] == 0
_[18409],38.25396825396825,-0.9563492063492065 _[8994] + 0.9563492063492065 _[14394] + _[18409] == 0
_[18410],38.25396825396831,-0.9563492063492065 _[9032] + 0.9563492063492065 _[14432] + _[18410] == 0
_[18411],37.29761904761904,-0.9563492063492065 _[9070] + 0.9563492063492065 _[14470] + _[18411] == 0
_[18412],36.34126984126988,-0.9563492063492065 _[9108] + 0.9563492063492065 _[14508] + _[18412] == 0
_[18413],38.25396825396825,-0.9563492063492065 _[9146] + 0.9563492063492065 _[14546] + _[18413] == 0
_[18414],42.07936507936512,-0.9563492063492065 _[9184] + 0.9563492063492065 _[14584] + _[18414] == 0
_[18415],45.90476190476187,-0.9563492063492065 _[9222] + 0.9563492063492065 _[14622] + _[18415] == 0
_[18416],47.8174603174603,-0.9563492063492065 _[9260] + 0.9563492063492065 _[14660] + _[18416] == 0
_[18417],45.90476190476187,-0.9563492063492065 _[9298] + 0.9563492063492065 _[14698] + _[18417] == 0
_[18418],42.07936507936506,-0.9563492063492065 _[9336] + 0.9563492063492065 _[14736] + _[18418] == 0
_[18419],39.21031746031741,-0.9563492063492065 _[9374] + 0.9563492063492065 _[14774] + _[18419] == 0
_[18420],38.25396825396825,-0.9563492063492065 _[9412] + 0.9563492063492065 _[14812] + _[18420] == 0
_[18421],37.29761904761904,-0.9563492063492065 _[9450] + 0.9563492063492065 _[14850] + _[18421] == 0
_[18422],36.34126984126988,-0.9563492063492065 _[9488] + 0.9563492063492065 _[14888] + _[18422] == 0
_[18423],37.29761904761904,-0.9563492063492065 _[9526] + 0.9563492063492065 _[14926] + _[18423] == 0
_[18424],40.16666666666663,-0.9563492063492065 _[9564] + 0.9563492063492065 _[14964] + _[18424] == 0
_[18425],43.99206349206344,-0.9563492063492065 _[9602] + 0.9563492063492065 _[15002] + _[18425] == 0
_[18426],46.861111111111086,-0.9563492063492065 _[9640] + 0.9563492063492065 _[15040] + _[18426] == 0
_[18427],44.94841269841265,-0.9563492063492065 _[9678] + 0.9563492063492065 _[15078] + _[18427] == 0
_[18428],42.07936507936506,-0.9563492063492065 _[9716] + 0.9563492063492065 _[15116] + _[18428] == 0
_[18429],40.166666666666686,-0.9563492063492065 _[9754] + 0.9563492063492065 _[15154] + _[18429] == 0
_[18430],39.210317460317526,-0.9563492063492065 _[9792] + 0.9563492063492065 _[15192] + _[18430] == 0
_[18431],38.253968253968765,-0.9563492063492065 _[9830] + 0.9563492063492065 _[15230] + _[18431] == 0
_[18432],38.253968253968026,-0.9563492063492065 _[9868] + 0.9563492063492065 _[15268] + _[18432] == 0
_[18433],38.25396825396825,-0.9563492063492065 _[8995] + 0.9563492063492065 _[14395] + _[18433] == 0
_[18434],38.25396825396831,-0.9563492063492065 _[9033] + 0.9563492063492065 _[14433] + _[18434] == 0
_[18435],37.297619047619094,-0.9563492063492065 _[9071] + 0.9563492063492065 _[14471] + _[18435] == 0
_[18436],36.34126984126988,-0.9563492063492065 _[9109] + 0.9563492063492065 _[14509] + _[18436] == 0
_[18437],38.25396825396825,-0.9563492063492065 _[9147] + 0.9563492063492065 _[14547] + _[18437] == 0
_[18438],42.07936507936506,-0.9563492063492065 _[9185] + 0.9563492063492065 _[14585] + _[18438] == 0
_[18439],45.90476190476187,-0.9563492063492065 _[9223] + 0.9563492063492065 _[14623] + _[18439] == 0
_[18440],47.8174603174603,-0.9563492063492065 _[9261] + 0.9563492063492065 _[14661] + _[18440] == 0
_[18441],45.90476190476187,-0.9563492063492065 _[9299] + 0.9563492063492065 _[14699] + _[18441] == 0
_[18442],42.07936507936506,-0.9563492063492065 _[9337] + 0.9563492063492065 _[14737] + _[18442] == 0
_[18443],39.21031746031747,-0.9563492063492065 _[9375] + 0.9563492063492065 _[14775] + _[18443] == 0
_[18444],38.25396825396825,-0.9563492063492065 _[9413] + 0.9563492063492065 _[14813] + _[18444] == 0
_[18445],37.297619047619094,-0.9563492063492065 _[9451] + 0.9563492063492065 _[14851] + _[18445] == 0
_[18446],36.34126984126988,-0.9563492063492065 _[9489] + 0.9563492063492065 _[14889] + _[18446] == 0
_[18447],37.297619047619094,-0.9563492063492065 _[9527] + 0.9563492063492065 _[14927] + _[18447] == 0
_[18448],40.16666666666663,-0.9563492063492065 _[9565] + 0.9563492063492065 _[14965] + _[18448] == 0
_[18449],43.99206349206344,-0.9563492063492065 _[9603] + 0.9563492063492065 _[15003] + _[18449] == 0
_[18450],46.861111111111086,-0.9563492063492065 _[9641] + 0.9563492063492065 _[15041] + _[18450] == 0
_[18451],44.94841269841265,-0.9563492063492065 _[9679] + 0.9563492063492065 _[15079] + _[18451] == 0
_[18452],42.07936507936506,-0.9563492063492065 _[9717] + 0.9563492063492065 _[15117] + _[18452] == 0
_[18453],40.166666666666686,-0.9563492063492065 _[9755] + 0.9563492063492065 _[15155] + _[18453] == 0
_[18454],39.21031746031758,-0.9563492063492065 _[9793] + 0.9563492063492065 _[15193] + _[18454] == 0
_[18455],38.25396825396865,-0.9563492063492065 _[9831] + 0.9563492063492065 _[15231] + _[18455] == 0
_[18456],38.253968253968026,-0.9563492063492065 _[9869] + 0.9563492063492065 _[15269] + _[18456] == 0
_[18457],38.25396825396831,-0.9563492063492065 _[8996] + 0.9563492063492065 _[14396] + _[18457] == 0
_[18458],38.25396825396831,-0.9563492063492065 _[9034] + 0.9563492063492065 _[14434] + _[18458] == 0
_[18459],37.297619047619094,-0.9563492063492065 _[9072] + 0.9563492063492065 _[14472] + _[18459] == 0
_[18460],36.34126984126982,-0.9563492063492065 _[9110] + 0.9563492063492065 _[14510] + _[18460] == 0
_[18461],38.25396825396825,-0.9563492063492065 _[9148] + 0.9563492063492065 _[14548] + _[18461] == 0
_[18462],42.07936507936506,-0.9563492063492065 _[9186] + 0.9563492063492065 _[14586] + _[18462] == 0
_[18463],45.90476190476187,-0.9563492063492065 _[9224] + 0.9563492063492065 _[14624] + _[18463] == 0
_[18464],47.817460317460245,-0.9563492063492065 _[9262] + 0.9563492063492065 _[14662] + _[18464] == 0
_[18465],45.90476190476187,-0.9563492063492065 _[9300] + 0.9563492063492065 _[14700] + _[18465] == 0
_[18466],42.07936507936506,-0.9563492063492065 _[9338] + 0.9563492063492065 _[14738] + _[18466] == 0
_[18467],39.21031746031741,-0.9563492063492065 _[9376] + 0.9563492063492065 _[14776] + _[18467] == 0
_[18468],38.25396825396825,-0.9563492063492065 _[9414] + 0.9563492063492065 _[14814] + _[18468] == 0
_[18469],37.29761904761904,-0.9563492063492065 _[9452] + 0.9563492063492065 _[14852] + _[18469] == 0
_[18470],36.34126984126982,-0.9563492063492065 _[9490] + 0.9563492063492065 _[14890] + _[18470] == 0
_[18471],37.29761904761904,-0.9563492063492065 _[9528] + 0.9563492063492065 _[14928] + _[18471] == 0
_[18472],40.16666666666663,-0.9563492063492065 _[9566] + 0.9563492063492065 _[14966] + _[18472] == 0
_[18473],43.992063492063494,-0.9563492063492065 _[9604] + 0.9563492063492065 _[15004] + _[18473] == 0
_[18474],46.86111111111103,-0.9563492063492065 _[9642] + 0.9563492063492065 _[15042] + _[18474] == 0
_[18475],44.94841269841265,-0.9563492063492065 _[9680] + 0.9563492063492065 _[15080] + _[18475] == 0
_[18476],42.07936507936506,-0.9563492063492065 _[9718] + 0.9563492063492065 _[15118] + _[18476] == 0
_[18477],40.166666666666686,-0.9563492063492065 _[9756] + 0.9563492063492065 _[15156] + _[18477] == 0
_[18478],39.21031746031764,-0.9563492063492065 _[9794] + 0.9563492063492065 _[15194] + _[18478] == 0
_[18479],38.25396825396854,-0.9563492063492065 _[9832] + 0.9563492063492065 _[15232] + _[18479] == 0
_[18480],38.25396825396837,-0.9563492063492065 _[9870] + 0.9563492063492065 _[15270] + _[18480] == 0
_[18481],38.25396825396825,-0.9563492063492065 _[8997] + 0.9563492063492065 _[14397] + _[18481] == 0
_[18482],38.25396825396831,-0.9563492063492065 _[9035] + 0.9563492063492065 _[14435] + _[18482] == 0
_[18483],37.29761904761904,-0.9563492063492065 _[9073] + 0.9563492063492065 _[14473] + _[18483] == 0
_[18484],36.34126984126982,-0.9563492063492065 _[9111] + 0.9563492063492065 _[14511] + _[18484] == 0
_[18485],38.25396825396825,-0.9563492063492065 _[9149] + 0.9563492063492065 _[14549] + _[18485] == 0
_[18486],42.079365079365004,-0.9563492063492065 _[9187] + 0.9563492063492065 _[14587] + _[18486] == 0
_[18487],45.90476190476181,-0.9563492063492065 _[9225] + 0.9563492063492065 _[14625] + _[18487] == 0
_[18488],47.817460317460245,-0.9563492063492065 _[9263] + 0.9563492063492065 _[14663] + _[18488] == 0
_[18489],45.90476190476181,-0.9563492063492065 _[9301] + 0.9563492063492065 _[14701] + _[18489] == 0
_[18490],42.079365079365004,-0.9563492063492065 _[9339] + 0.9563492063492065 _[14739] + _[18490] == 0
_[18491],39.21031746031741,-0.9563492063492065 _[9377] + 0.9563492063492065 _[14777] + _[18491] == 0
_[18492],38.25396825396825,-0.9563492063492065 _[9415] + 0.9563492063492065 _[14815] + _[18492] == 0
_[18493],37.29761904761904,-0.9563492063492065 _[9453] + 0.9563492063492065 _[14853] + _[18493] == 0
_[18494],36.34126984126982,-0.9563492063492065 _[9491] + 0.9563492063492065 _[14891] + _[18494] == 0
_[18495],37.29761904761898,-0.9563492063492065 _[9529] + 0.9563492063492065 _[14929] + _[18495] == 0
_[18496],40.16666666666657,-0.9563492063492065 _[9567] + 0.9563492063492065 _[14967] + _[18496] == 0
_[18497],43.99206349206344,-0.9563492063492065 _[9605] + 0.9563492063492065 _[15005] + _[18497] == 0
_[18498],46.86111111111103,-0.9563492063492065 _[9643] + 0.9563492063492065 _[15043] + _[18498] == 0
_[18499],44.94841269841265,-0.9563492063492065 _[9681] + 0.9563492063492065 _[15081] + _[18499] == 0
_[18500],42.079365079365004,-0.9563492063492065 _[9719] + 0.9563492063492065 _[15119] + _[18500] == 0
_[18501],40.16666666666663,-0.9563492063492065 _[9757] + 0.9563492063492065 _[15157] + _[18501] == 0
_[18502],39.21031746031758,-0.9563492063492065 _[9795] + 0.9563492063492065 _[15195] + _[18502] == 0
_[18503],38.25396825396854,-0.9563492063492065 _[9833] + 0.9563492063492065 _[15233] + _[18503] == 0
_[18504],38.25396825396825,-0.9563492063492065 _[9871] + 0.9563492063492065 _[15271] + _[18504] == 0
_[18505],38.25396825396825,-0.9563492063492065 _[8998] + 0.9563492063492065 _[14398] + _[18505] == 0
_[18506],38.25396825396825,-0.9563492063492065 _[9036] + 0.9563492063492065 _[14436] + _[18506] == 0
_[18507],37.29761904761915,-0.9563492063492065 _[9074] + 0.9563492063492065 _[14474] + _[18507] == 0
_[18508],36.34126984126988,-0.9563492063492065 _[9112] + 0.9563492063492065 _[14512] + _[18508] == 0
_[18509],38.25396825396825,-0.9563492063492065 _[9150] + 0.9563492063492065 _[14550] + _[18509] == 0
_[18510],42.07936507936512,-0.9563492063492065 _[9188] + 0.9563492063492065 _[14588] + _[18510] == 0
_[18511],45.90476190476187,-0.9563492063492065 _[9226] + 0.9563492063492065 _[14626] + _[18511] == 0
_[18512],47.8174603174603,-0.9563492063492065 _[9264] + 0.9563492063492065 _[14664] + _[18512] == 0
_[18513],45.90476190476187,-0.9563492063492065 _[9302] + 0.9563492063492065 _[14702] + _[18513] == 0
_[18514],42.07936507936506,-0.9563492063492065 _[9340] + 0.9563492063492065 _[14740] + _[18514] == 0
_[18515],39.21031746031747,-0.9563492063492065 _[9378] + 0.9563492063492065 _[14778] + _[18515] == 0
_[18516],38.25396825396825,-0.9563492063492065 _[9416] + 0.9563492063492065 _[14816] + _[18516] == 0
_[18517],37.297619047619094,-0.9563492063492065 _[9454] + 0.9563492063492065 _[14854] + _[18517] == 0
_[18518],36.34126984126988,-0.9563492063492065 _[9492] + 0.9563492063492065 _[14892] + _[18518] == 0
_[18519],37.297619047619094,-0.9563492063492065 _[9530] + 0.9563492063492065 _[14930] + _[18519] == 0
